Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
47	8	0	0.840243719	6.06781255e-05	-4.9003811e-06	-5.77607421e-05	6.06781255e-05	6.99339228e-05	0	0	0	0	0	3
48	8	0	0.858121245	3.93890764e-05	-3.51855779e-06	-5.77607421e-05	6.06781255e-05	6.71128718e-05	0	0	0	0	0	3
49	8	0	0.875998771	3.60900987e-05	-2.26408342e-06	-5.77607421e-05	6.06781255e-05	6.46362784e-05	0	0	0	0	0	3
50	8	0	0.893876297	3.21751182e-05	-1.21857135e-06	-5.77607421e-05	6.06781255e-05	6.26367578e-05	0	0	0	0	0	3
51	8	0	0.911753823	2.51979786e-05	-6.37224609e-07	-5.77607421e-05	6.06781255e-05	6.08684779e-05	0	0	0	0	0	3
52	8	0	0.929631349	6.10982484e-05	1.17089131e-06	-5.77607421e-05	6.10982484e-05	5.93615891e-05	0	0	0	0	0	3
53	9	0	0.947508875	5.87995241e-05	2.78983064e-06	-5.77607421e-05	6.10982484e-05	5.79971752e-05	0	0	0	0	0	3
54	9	0	0.965386401	3.47497237e-05	3.52518533e-06	-5.77607421e-05	6.10982484e-05	5.62275949e-05	0	0	0	0	0	3
55	9	0	0.983263927	4.87409591e-05	5.24838142e-06	-5.77607421e-05	6.10982484e-05	5.47628471e-05	0	0	0	0	0	3
56	9	0	1.00114145	7.75167811e-05	7.82085142e-06	-5.77607421e-05	7.75167811e-05	1.75478875e-05	0.231350319	0	100	0	0	3
57	9	0	1.01901898	7.45959354e-05	1.06490714e-05	-5.77607421e-05	7.75167811e-05	2.03761074e-05	0.231350319	0	100	0	0	3
58	9	0	1.0368965	4.35592489e-05	1.25408446e-05	-5.77607421e-05	7.75167811e-05	2.22678806e-05	0.231350319	0	100	0	0	3
59	9	0	1.05477403	1.73515055e-05	1.35472933e-05	-5.77607421e-05	7.75167811e-05	2.32743294e-05	0.231350319	0	100	0	0	3
60	10	0	1.07265156	6.6416232e-05	1.79821853e-05	-3.57451873e-05	7.75167811e-05	2.77092213e-05	0.231350319	0	100	0	0	3
61	10	0	1.09052908	5.87403262e-05	2.13091438e-05	-3.57451873e-05	7.75167811e-05	3.10361798e-05	0.231350319	0	100	0	0	3
62	10	0	1.10840661	8.8695191e-05	2.56854913e-05	-3.57451873e-05	8.8695191e-05	3.54125274e-05	0.231350319	0	100	0	0	3
63	10	0	1.12628413	7.5328767e-06	2.69739256e-05	-3.57451873e-05	8.8695191e-05	3.67009616e-05	0.231350319	0	100	0	0	3
64	10	0	1.14416166	2.99774717e-06	2.76951535e-05	-3.57451873e-05	8.8695191e-05	3.74221895e-05	0.231350319	0	100	0	0	3
65	10	0	1.16203919	3.55463577e-05	3.02412801e-05	-2.84466725e-05	8.8695191e-05	3.99683161e-05	0.231350319	0	100	0	0	3
66	10	0	1.17991671	-1.47473465e-07	3.12519658e-05	-2.18065791e-05	8.8695191e-05	4.09790018e-05	0.231350319	0	100	0	0	3
67	10	0	1.19779424	3.81694792e-05	3.30759131e-05	-2.18065791e-05	8.8695191e-05	4.28029491e-05	0.231350319	0	100	0	0	3
68	11	0	1.21567176	1.92608664e-05	3.45426076e-05	-1.36698702e-05	8.8695191e-05	4.42696436e-05	0.231350319	0	100	0	0	3
69	11	0	1.23354929	2.71553842e-05	3.58495835e-05	-1.36698702e-05	8.8695191e-05	4.55766196e-05	0.231350319	0	100	0	0	3
70	11	0	1.25142682	2.36397904e-05	3.71820714e-05	-8.43412635e-06	8.8695191e-05	4.69091075e-05	0.231350319	0	100	0	0	3
71	11	0	1.26930434	2.0604741e-05	3.82191738e-05	-6.13524441e-06	8.8695191e-05	4.71937409e-05	0.231350319	0	100	0	0	3
72	11	0	1.28718187	-2.24208177e-05	3.65244763e-05	-2.24208177e-05	8.8695191e-05	4.71937409e-05	0.231350319	0	100	0	0	3
73	11	0	1.30505939	1.6496576e-05	3.73327556e-05	-2.24208177e-05	8.8695191e-05	4.52752915e-05	0.231350319	0	100	0	0	3
74	11	0	1.32293692	-2.25786996e-05	3.4644675e-05	-2.25786996e-05	8.8695191e-05	4.31195549e-05	0.231350319	0	100	0	0	3
75	12	0	1.34081445	-1.34747958e-05	3.19963564e-05	-2.25786996e-05	8.8695191e-05	4.17377316e-05	0.231350319	0	100	0	0	3
76	12	0	1.35869197	-5.86682919e-05	2.84943075e-05	-5.86682919e-05	8.8695191e-05	4.04832572e-05	0.231350319	0	100	0	0	3
77	12	0	1.3765695	3.88530846e-06	2.73441365e-05	-5.86682919e-05	8.8695191e-05	3.94377452e-05	0.231350319	0	100	0	0	3
78	12	0	1.39444702	-5.41013928e-05	2.42628325e-05	-5.86682919e-05	8.8695191e-05	3.88563984e-05	0.231350319	0	100	0	0	3
79	12	0	1.41232455	9.17680878e-06	2.36906479e-05	-5.86682919e-05	8.8695191e-05	3.70482825e-05	0.231350319	0	100	0	0	3
80	12	0	1.43020208	1.81270399e-06	2.1573307e-05	-5.86682919e-05	8.8695191e-05	3.54293432e-05	0.231350319	0	100	0	0	3
81	12	0	1.4480796	-3.42699994e-05	1.82493954e-05	-5.86682919e-05	8.8695191e-05	3.46939885e-05	0.231350319	0	100	0	0	3
82	13	0	1.46595713	-1.84666606e-05	1.63488103e-05	-5.86682919e-05	8.8695191e-05	3.29707924e-05	0.231350319	0	100	0	0	3
83	13	0	1.48383465	-1.67196166e-05	1.40109326e-05	-5.86682919e-05	8.8695191e-05	3.03983224e-05	0.231350319	0	100	0	0	3
84	13	0	1.50171218	-1.02224227e-06	1.12059675e-05	-5.86682919e-05	8.8695191e-05	2.75701024e-05	0.231350319	0	100	0	0	3
85	13	0	1.5195897	-1.34792194e-05	8.06042621e-06	-5.86682919e-05	8.8695191e-05	3.01587476e-05	0.231350319	0	100	0	0	3
86	13	0	1.53746723	3.01831125e-05	7.58270706e-06	-5.86682919e-05	8.8695191e-05	3.06364668e-05	0.231350319	0	100	0	0	3
