Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0178775259
2	1	0	0.0357550519
3	1	0	0.0536325778
4	1	0	0.0715101038
5	1	0	0.0893876297
6	2	0	0.107265156
7	2	0	0.125142682
8	2	0	0.143020208
9	2	0	0.160897733
10	2	0	0.178775259
11	2	0	0.196652785
12	2	0	0.214530311
13	3	0	0.232407837
14	3	0	0.250285363
15	3	0	0.268162889
16	3	0	0.286040415
17	3	0	0.303917941
18	3	0	0.321795467
19	4	0	0.339672993
20	4	0	0.357550519
21	4	0	0.375428045
22	4	0	0.393305571
23	4	0	0.411183097
24	4	0	0.429060623
25	5	0	0.446938148
26	5	0	0.464815674
27	5	0	0.4826932
28	5	0	0.500570726
29	5	0	0.518448252
30	5	0	0.536325778
31	5	0	0.554203304
32	6	0	0.57208083
33	6	0	0.589958356
34	6	0	0.607835882
35	6	0	0.625713408
36	6	0	0.643590934
37	6	0	0.66146846
38	6	0	0.679345986
39	7	0	0.697223512
40	7	0	0.715101038
41	7	0	0.732978564
42	7	0	0.750856089
43	7	0	0.768733615
44	7	0	0.786611141
45	7	0	0.804488667
46	8	0	0.822366193
47	8	0	0.840243719
48	8	0	0.858121245
49	8	0	0.875998771
50	8	0	0.893876297
51	8	0	0.911753823
52	8	0	0.929631349
53	9	0	0.947508875
54	9	0	0.965386401
55	9	0	0.983263927
56	9	0	1.00114145
57	9	0	1.01901898
58	9	0	1.0368965
59	9	0	1.05477403
60	10	0	1.07265156
61	10	0	1.09052908
62	10	0	1.10840661
63	10	0	1.12628413
64	10	0	1.14416166
65	10	0	1.16203919
66	10	0	1.17991671
67	10	0	1.19779424
68	11	0	1.21567176
69	11	0	1.23354929
70	11	0	1.25142682
71	11	0	1.26930434
72	11	0	1.28718187
73	11	0	1.30505939
74	11	0	1.32293692
75	12	0	1.34081445
76	12	0	1.35869197
77	12	0	1.3765695
78	12	0	1.39444702
79	12	0	1.41232455
80	12	0	1.43020208
81	12	0	1.4480796
82	13	0	1.46595713
83	13	0	1.48383465
84	13	0	1.50171218
85	13	0	1.5195897
86	13	0	1.53746723
